,Week,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
22,4/20/08,16,"$350,219","$-29,565","$705,408",49.65%,$74.25,$251.50,4717,8464,8,55.7%,-5.2%,November
23,4/27/08,17,"$446,286","$96,067","$705,408",63.27%,$71.92,$251.50,6205,8464,8,73.3%,17.6%,November
24,5/04/08,18,"$289,220","$-157,066","$705,408",41.00%,$69.09,$251.50,4186,8464,8,49.5%,-23.8%,November
25,5/11/08,19,"$293,895","$4,675","$705,408",41.66%,$71.73,$251.50,4097,8464,8,48.4%,-1.1%,November
26,5/18/08,20,"$319,421","$25,526","$705,408",45.28%,$72.10,$251.50,4430,8464,8,52.3%,3.9%,November
27,5/25/08,21,"$286,173","$-33,248","$705,408",40.57%,$66.17,$251.50,4325,8464,8,51.1%,-1.2%,November
28,6/01/08,22,"$259,289","$-26,884","$705,408",36.76%,$66.62,$251.50,3892,8464,8,46.0%,-5.1%,November
29,6/08/08,23,"$284,001","$24,712","$705,408",40.26%,$66.06,$251.50,4299,8464,8,50.8%,4.8%,November
30,6/15/08,24,"$303,729","$19,728","$705,408",43.06%,$67.41,$251.50,4506,8464,8,53.2%,2.4%,November
31,6/22/08,25,"$304,067",$338,"$705,408",43.11%,$65.83,$200.00,4619,8464,8,54.6%,1.4%,November
32,6/29/08,26,"$314,312","$10,245","$705,408",44.56%,$65.74,$200.00,4781,8464,8,56.5%,1.9%,November
33,7/06/08,27,"$300,479","$-13,833","$705,408",42.60%,$58.20,$200.00,5163,8464,8,61.0%,4.5%,November
34,7/13/08,28,"$256,268","$-44,211","$705,408",36.33%,$60.84,$200.00,4212,8464,8,49.8%,-11.2%,November
7,3/20/88,12,"$64,882","$64,882",$0,,$0.00,$0.00,4737,0,8,0.0%,0.0%,Oba Oba
8,3/27/88,13,"$69,804","$4,922",$0,,$0.00,$0.00,4676,0,8,0.0%,0.0%,Oba Oba
9,4/03/88,14,"$84,741","$14,937",$0,,$0.00,$0.00,3593,0,8,0.0%,0.0%,Oba Oba
10,4/10/88,15,"$76,120","$-8,621",$0,,$0.00,$0.00,3771,0,8,0.0%,0.0%,Oba Oba
11,4/17/88,16,"$74,982","$-1,138",$0,,$0.00,$0.00,3880,0,8,0.0%,0.0%,Oba Oba
12,4/24/88,17,"$77,204","$2,222",$0,,$0.00,$0.00,3712,0,8,0.0%,0.0%,Oba Oba
13,5/01/88,18,"$80,286","$3,082",$0,,$0.00,$0.00,3013,0,8,0.0%,0.0%,Oba Oba
14,5/08/88,19,"$104,116","$23,830",$0,,$0.00,$0.00,3931,0,8,0.0%,0.0%,Oba Oba
7,3/11/90,10,"$118,223","$118,223",$0,,$0.00,$0.00,8344,0,7,0.0%,0.0%,Oba Oba  90
8,3/18/90,11,"$143,032","$24,809",$0,,$0.00,$0.00,7990,0,8,0.0%,0.0%,Oba Oba  90
9,3/25/90,12,"$167,131","$24,099",$0,,$0.00,$0.00,7185,0,8,0.0%,0.0%,Oba Oba  90
10,4/01/90,13,"$177,851","$10,720",$0,,$0.00,$0.00,7470,0,8,0.0%,0.0%,Oba Oba  90
11,4/08/90,14,"$178,271",$420,$0,,$0.00,$0.00,8594,0,8,0.0%,0.0%,Oba Oba  90
12,4/15/90,15,"$214,827","$36,556",$0,,$0.00,$0.00,8716,0,8,0.0%,0.0%,Oba Oba  90
13,4/22/90,16,"$247,044","$32,217",$0,,$0.00,$0.00,8844,0,8,0.0%,0.0%,Oba Oba  90
7,9/13/92,37,"$32,631","$32,631",$0,,$0.00,$0.00,3488,0,6,0.0%,0.0%,Oba Oba  93
8,9/20/92,38,"$46,162","$13,531",$0,,$0.00,$0.00,2656,0,8,0.0%,0.0%,Oba Oba  93
9,9/27/92,39,"$77,892","$31,730",$0,,$0.00,$0.00,4858,0,8,0.0%,0.0%,Oba Oba  93
10,10/04/92,40,"$90,267","$12,375",$0,,$0.00,$0.00,7545,0,8,0.0%,0.0%,Oba Oba  93
11,10/11/92,41,"$82,693","$-7,574",$0,,$0.00,$0.00,3552,0,8,0.0%,0.0%,Oba Oba  93
12,10/18/92,42,"$96,787","$14,094",$0,,$0.00,$0.00,4214,0,8,0.0%,0.0%,Oba Oba  93
7,3/03/85,9,"$32,933","$32,933",$0,,$0.00,$0.00,2795,0,8,0.0%,0.0%,Octette Bridge Club
8,3/10/85,10,"$37,320","$4,387",$0,,$0.00,$0.00,3465,0,8,0.0%,0.0%,Octette Bridge Club
9,3/17/85,11,"$51,486","$14,166",$0,,$0.00,$0.00,4069,0,8,0.0%,0.0%,Octette Bridge Club
10,3/24/85,12,"$37,598","$-13,888",$0,,$0.00,$0.00,1827,0,8,0.0%,0.0%,Octette Bridge Club
7,3/23/14,12,"$688,832","$688,832","$712,114",96.73%,$111.95,$223.00,6153,6438,6,95.6%,0.0%,Of Mice And Men
8,3/30/14,13,"$868,728","$179,896","$938,132",92.60%,$103.54,$223.00,8390,8584,8,97.7%,97.7%,Of Mice And Men
9,4/06/14,14,"$823,309","$-45,419","$938,132",87.76%,$98.41,$223.00,8366,8584,8,97.5%,-0.2%,Of Mice And Men
10,4/13/14,15,"$796,078","$-27,231","$938,132",84.86%,$95.67,$223.00,8321,8584,8,96.9%,-0.6%,Of Mice And Men
11,4/20/14,16,"$755,158","$-40,920","$825,123",91.52%,$100.58,$223.00,7508,7511,7,100.0%,3.1%,Of Mice And Men
12,4/27/14,17,"$897,852","$142,694","$943,977",95.11%,$104.95,$223.00,8555,8584,8,99.7%,-0.3%,Of Mice And Men
13,5/04/14,18,"$864,014","$-33,838","$943,977",91.53%,$104.06,$223.00,8303,8584,8,96.7%,-3.0%,Of Mice And Men
14,5/11/14,19,"$852,668","$-11,346","$943,977",90.33%,$104.54,$223.00,8156,8584,8,95.0%,-1.7%,Of Mice And Men
15,5/18/14,20,"$875,771","$23,103","$943,977",92.77%,$103.48,$223.00,8463,8584,8,98.6%,3.6%,Of Mice And Men
16,5/25/14,21,"$859,979","$-15,792","$943,977",91.10%,$101.91,$223.00,8439,8584,8,98.3%,-0.3%,Of Mice And Men
17,6/01/14,22,"$803,260","$-56,719","$943,977",85.09%,$98.20,$223.00,8180,8584,8,95.3%,-3.0%,Of Mice And Men
18,6/08/14,23,"$764,761","$-38,499","$943,977",81.01%,$96.39,$223.00,7934,8584,8,92.4%,-2.9%,Of Mice And Men
19,6/15/14,24,"$806,630","$41,869","$943,977",85.45%,$99.29,$223.00,8124,8584,8,94.6%,2.2%,Of Mice And Men
20,6/22/14,25,"$855,987","$49,357","$943,977",90.68%,$101.78,$223.00,8410,8584,8,98.0%,3.4%,Of Mice And Men
21,6/29/14,26,"$840,010","$-15,977","$943,977",88.99%,$100.85,$223.00,8329,8584,8,97.0%,-1.0%,Of Mice And Men
22,7/06/14,27,"$755,356","$-84,654","$935,462",80.75%,$93.06,$223.00,8117,8584,8,94.6%,-2.4%,Of Mice And Men
23,7/13/14,28,"$862,862","$107,506","$943,977",91.41%,$101.66,$223.00,8488,8584,8,98.9%,4.3%,Of Mice And Men
24,7/20/14,29,"$929,343","$66,481","$943,977",98.45%,$108.49,$223.00,8566,8584,8,99.8%,0.9%,Of Mice And Men
25,7/27/14,30,"$1,038,106","$108,763","$943,977",109.97%,$121.06,$223.00,8575,8584,8,99.9%,0.1%,Of Mice And Men
7,1/01/89,1,"$73,845","$47,208",$0,,$0.00,$0.00,4422,0,10,0.0%,0.0%,Oh Calcutta 
8,1/08/89,2,"$40,547","$-33,298",$0,,$0.00,$0.00,2749,0,10,0.0%,0.0%,Oh Calcutta 
9,1/15/89,3,"$42,072","$1,525",$0,,$0.00,$0.00,2843,0,10,0.0%,0.0%,Oh Calcutta 
10,1/22/89,4,"$35,511","$-6,561",$0,,$0.00,$0.00,2441,0,10,0.0%,0.0%,Oh Calcutta 
11,1/29/89,5,"$35,664",$153,$0,,$0.00,$0.00,2464,0,10,0.0%,0.0%,Oh Calcutta 
12,2/05/89,6,"$29,696","$-5,968",$0,,$0.00,$0.00,2049,0,10,0.0%,0.0%,Oh Calcutta 
13,2/12/89,7,"$34,929","$5,233",$0,,$0.00,$0.00,2401,0,10,0.0%,0.0%,Oh Calcutta 
14,2/19/89,8,"$51,851","$16,922",$0,,$0.00,$0.00,3301,0,10,0.0%,0.0%,Oh Calcutta 
15,2/26/89,9,"$40,439","$-11,412",$0,,$0.00,$0.00,2742,0,10,0.0%,0.0%,Oh Calcutta 
16,3/05/89,10,"$43,316","$2,877",$0,,$0.00,$0.00,2933,0,10,0.0%,0.0%,Oh Calcutta 
17,3/12/89,11,"$44,277",$961,$0,,$0.00,$0.00,2992,0,10,0.0%,0.0%,Oh Calcutta 
18,3/19/89,12,"$48,742","$4,465",$0,,$0.00,$0.00,3269,0,10,0.0%,0.0%,Oh Calcutta 
19,3/26/89,13,"$48,016",$-726,$0,,$0.00,$0.00,3227,0,10,0.0%,0.0%,Oh Calcutta 
20,4/02/89,14,"$34,523","$-13,493",$0,,$0.00,$0.00,2371,0,10,0.0%,0.0%,Oh Calcutta 
21,4/09/89,15,"$34,523",$0,$0,,$0.00,$0.00,2371,0,10,0.0%,0.0%,Oh Calcutta 
22,4/16/89,16,"$32,792","$-1,731",$0,,$0.00,$0.00,2265,0,10,0.0%,0.0%,Oh Calcutta 
23,4/23/89,17,"$35,533","$2,741",$0,,$0.00,$0.00,2442,0,8,0.0%,0.0%,Oh Calcutta 
24,4/30/89,18,"$39,558","$4,025",$0,,$0.00,$0.00,2645,0,10,0.0%,0.0%,Oh Calcutta 
25,5/07/89,19,"$54,232","$14,674",$0,,$0.00,$0.00,3628,0,10,0.0%,0.0%,Oh Calcutta 
26,5/14/89,20,"$41,997","$-12,235",$0,,$0.00,$0.00,2797,0,10,0.0%,0.0%,Oh Calcutta 
27,5/21/89,21,"$41,271",$-726,$0,,$0.00,$0.00,2760,0,10,0.0%,0.0%,Oh Calcutta 
28,5/28/89,22,"$45,943","$4,672",$0,,$0.00,$0.00,3060,0,10,0.0%,0.0%,Oh Calcutta 
29,6/04/89,23,"$36,870","$-9,073",$0,,$0.00,$0.00,2529,0,8,0.0%,0.0%,Oh Calcutta 
30,6/11/89,24,"$41,291","$4,421",$0,,$0.00,$0.00,2760,0,8,0.0%,0.0%,Oh Calcutta 
31,6/18/89,25,"$42,085",$794,$0,,$0.00,$0.00,2809,0,8,0.0%,0.0%,Oh Calcutta 
32,6/25/89,26,"$37,272","$-4,813",$0,,$0.00,$0.00,2549,0,8,0.0%,0.0%,Oh Calcutta 
33,7/02/89,27,"$36,686",$-586,$0,,$0.00,$0.00,2528,0,8,0.0%,0.0%,Oh Calcutta 
34,7/09/89,28,"$35,065","$-1,621",$0,,$0.00,$0.00,2419,0,8,0.0%,0.0%,Oh Calcutta 
35,7/16/89,29,"$36,179","$1,114",$0,,$0.00,$0.00,2492,0,8,0.0%,0.0%,Oh Calcutta 
36,7/23/89,30,"$37,135",$956,$0,,$0.00,$0.00,2554,0,8,0.0%,0.0%,Oh Calcutta 
37,7/30/89,31,"$42,452","$5,317",$0,,$0.00,$0.00,2908,0,8,0.0%,0.0%,Oh Calcutta 
38,8/06/89,32,"$96,112","$53,660",$0,,$0.00,$0.00,4688,0,8,0.0%,0.0%,Oh Calcutta 
7,1/04/87,1,"$20,000",$0,$0,,$0.00,$0.00,1800,0,8,0.0%,0.0%,Oh Coward
7,1/06/91,1,"$153,555","$-126,428",$0,,$0.00,$0.00,4317,0,8,0.0%,0.0%,Oh Kay 
8,4/07/91,14,"$63,529","$-90,026",$0,,$0.00,$0.00,6681,0,8,0.0%,0.0%,Oh Kay 
9,4/14/91,15,"$56,798","$-6,731",$0,,$0.00,$0.00,4588,0,8,0.0%,0.0%,Oh Kay 
7,1/01/17,1,"$911,602","$368,446","$840,573",108.45%,$111.89,$248.00,8147,8199,9,99.4%,11.4%,Ohhello On Broadway
8,1/08/17,2,"$706,473","$-205,129","$754,318",93.66%,$98.75,$248.00,7154,7288,8,98.2%,-1.2%,Ohhello On Broadway
9,1/15/17,3,"$762,605","$56,132","$754,318",101.10%,$104.70,$248.00,7284,7288,8,99.9%,1.7%,Ohhello On Broadway
10,1/22/17,4,"$804,513","$41,908","$754,318",106.65%,$110.25,$248.00,7297,7288,8,100.1%,0.2%,Ohhello On Broadway
7,1/05/03,1,"$532,954","$-319,360","$1,013,585",52.58%,$66.66,$95.00,7995,13368,8,59.8%,-20.5%,Oklahoma 
8,1/12/03,2,"$379,855","$-153,099","$1,013,585",37.48%,$51.57,$95.00,7366,13368,8,55.1%,-4.7%,Oklahoma 
9,1/19/03,3,"$451,472","$71,617","$1,013,585",44.54%,$52.99,$95.00,8520,13368,8,63.7%,8.6%,Oklahoma 
10,1/26/03,4,"$316,460","$-135,012","$1,013,585",31.22%,$32.80,$95.00,9648,13368,8,72.2%,8.5%,Oklahoma 
11,2/02/03,5,"$296,253","$-20,207","$1,013,585",29.23%,$47.21,$95.00,6275,13368,8,46.9%,-25.3%,Oklahoma 
12,2/09/03,6,"$356,595","$60,342","$1,013,585",35.18%,$45.00,$95.00,7924,13368,8,59.3%,12.4%,Oklahoma 
13,2/16/03,7,"$502,025","$145,430","$1,013,585",49.53%,$49.90,$95.00,10061,13368,8,75.3%,16.0%,Oklahoma 
14,2/23/03,8,"$480,280","$-21,745","$1,013,585",47.38%,$45.44,$95.00,10570,13368,8,79.1%,3.8%,Oklahoma 
7,6/03/07,22,"$81,531","$81,531","$195,496",41.70%,$43.90,$86.25,1857,2960,4,62.7%,0.0%,Old Acquaintance
8,6/10/07,23,"$175,424","$93,893","$390,992",44.87%,$42.21,$86.25,4156,5920,8,70.2%,70.2%,Old Acquaintance
9,6/17/07,24,"$166,504","$-8,920","$390,992",42.59%,$41.78,$86.25,3985,5920,8,67.3%,-2.9%,Old Acquaintance
10,6/24/07,25,"$173,468","$6,964","$390,992",44.37%,$42.47,$86.25,4084,5920,8,69.0%,1.7%,Old Acquaintance
11,7/01/07,26,"$132,766","$-40,702","$390,992",33.96%,$42.39,$86.25,3132,5920,8,52.9%,-16.1%,Old Acquaintance
12,7/08/07,27,"$115,165","$-17,601","$390,992",29.45%,$38.34,$86.25,3004,5920,8,50.7%,-2.2%,Old Acquaintance
13,7/15/07,28,"$176,162","$60,997","$390,992",45.06%,$43.79,$86.25,4023,5920,8,68.0%,17.3%,Old Acquaintance
14,7/22/07,29,"$155,086","$-21,076","$390,992",39.66%,$42.75,$86.25,3628,5920,8,61.3%,-6.7%,Old Acquaintance
15,7/29/07,30,"$152,400","$-2,686","$390,992",38.98%,$41.39,$86.25,3682,5920,8,62.2%,0.9%,Old Acquaintance
16,8/05/07,31,"$159,121","$6,721","$390,992",40.70%,$42.00,$86.25,3789,5920,8,64.0%,1.8%,Old Acquaintance
17,8/12/07,32,"$158,505",$-616,"$390,992",40.54%,$42.68,$86.25,3714,5920,8,62.7%,-1.3%,Old Acquaintance
18,8/19/07,33,"$163,330","$4,825","$390,992",41.77%,$43.27,$86.25,3775,5920,8,63.8%,1.1%,Old Acquaintance
7,9/20/15,38,"$233,302","$233,302","$393,550",59.28%,$73.48,$0.00,3175,3700,5,85.8%,0.0%,Old Times
8,9/27/15,39,"$358,413","$125,111","$629,680",56.92%,$72.03,$0.00,4976,5920,8,84.1%,84.1%,Old Times
9,10/04/15,40,"$344,384","$-14,029","$629,680",54.69%,$64.27,$0.00,5358,5920,8,90.5%,6.4%,Old Times
10,10/11/15,41,"$356,649","$12,265","$629,680",56.64%,$70.32,$0.00,5072,5920,8,85.7%,-4.8%,Old Times
11,10/18/15,42,"$426,702","$70,053","$629,680",67.76%,$84.30,$0.00,5062,5920,8,85.5%,-0.2%,Old Times
12,10/25/15,43,"$415,176","$-11,526","$629,680",65.93%,$83.94,$139.00,4946,5920,8,83.5%,-2.0%,Old Times
13,11/01/15,44,"$352,316","$-62,860","$629,680",55.95%,$77.96,$139.00,4519,5920,8,76.3%,-7.2%,Old Times
14,11/08/15,45,"$392,201","$39,885","$629,680",62.29%,$83.32,$139.00,4707,5920,8,79.5%,3.2%,Old Times
15,11/15/15,46,"$395,275","$3,074","$629,680",62.77%,$81.08,$139.00,4875,5920,8,82.3%,2.8%,Old Times
16,11/22/15,47,"$400,106","$4,831","$629,680",63.54%,$77.65,$139.00,5153,5920,8,87.0%,4.7%,Old Times
17,11/29/15,48,"$365,051","$-35,055","$629,680",57.97%,$73.84,$139.00,4944,5920,8,83.5%,-3.5%,Old Times
7,11/02/03,44,"$46,734","$46,734","$173,256",26.97%,$34.88,$50.00,1340,4376,4,30.6%,0.0%,Oldest Living Confederate Widow Tells All
8,11/09/03,45,"$97,731","$50,997","$346,512",28.20%,$34.53,$50.00,2830,8752,8,32.3%,32.3%,Oldest Living Confederate Widow Tells All
9,11/16/03,46,"$78,259","$-19,472","$303,198",25.81%,$30.90,$50.00,2533,7658,7,33.1%,0.8%,Oldest Living Confederate Widow Tells All
10,11/23/03,47,"$2,478","$-75,781","$65,984",3.76%,$50.57,$76.25,49,1094,1,4.5%,-28.6%,Oldest Living Confederate Widow Tells All
7,10/04/09,40,"$283,245","$283,245","$692,560",40.90%,$54.63,$200.00,5185,6320,8,82.0%,0.0%,Oleanna
8,10/11/09,41,"$246,675","$-36,570","$692,560",35.62%,$42.42,$200.00,5815,6320,8,92.0%,92.0%,Oleanna
9,10/18/09,42,"$271,157","$24,482","$705,440",38.44%,$57.07,$200.00,4751,6432,8,73.9%,-18.1%,Oleanna
10,10/25/09,43,"$265,077","$-6,080","$705,440",37.58%,$61.52,$200.00,4309,6432,8,67.0%,-6.9%,Oleanna
11,11/01/09,44,"$192,932","$-72,145","$705,440",27.35%,$56.68,$200.00,3404,6432,8,52.9%,-14.1%,Oleanna
12,11/08/09,45,"$233,311","$40,379","$705,440",33.07%,$57.07,$200.00,4088,6432,8,63.6%,10.7%,Oleanna
13,11/15/09,46,"$241,999","$8,688","$705,440",34.30%,$58.19,$200.00,4159,6432,8,64.7%,1.1%,Oleanna
14,11/22/09,47,"$149,424","$-92,575","$705,440",21.18%,$53.96,$200.00,2769,6432,8,43.1%,-21.6%,Oleanna
15,11/29/09,48,"$129,778","$-19,646","$705,440",18.40%,$63.00,$200.00,2060,6432,8,32.0%,-11.1%,Oleanna
16,12/06/09,49,"$163,737","$33,959","$705,440",23.21%,$49.86,$200.00,3284,6432,8,51.1%,19.1%,Oleanna
7,1/01/12,1,"$716,511","$716,511","$1,545,426",46.36%,$77.69,$302.00,9223,12303,9,75.0%,0.0%,On A Clear Day You Can See Forever
8,1/08/12,2,"$584,711","$-131,800","$1,402,632",41.69%,$79.73,$302.00,7334,10936,8,67.1%,67.1%,On A Clear Day You Can See Forever
9,1/15/12,3,"$627,972","$43,261","$1,402,632",44.77%,$79.95,$302.00,7855,10936,8,71.8%,4.7%,On A Clear Day You Can See Forever
10,1/22/12,4,"$574,605","$-53,367","$1,402,632",40.97%,$75.88,$302.00,7573,10936,8,69.2%,-2.6%,On A Clear Day You Can See Forever
11,1/29/12,5,"$614,214","$39,609","$1,402,632",43.79%,$73.72,$302.00,8332,10936,8,76.2%,7.0%,On A Clear Day You Can See Forever
7,1/05/92,1,"$89,963",$-726,$0,,$0.00,$0.00,3668,0,7,0.0%,0.0%,On Borrowed Time
7,3/27/05,13,"$179,011","$179,011","$589,041",30.39%,$50.23,$91.25,3564,8536,8,41.8%,0.0%,On Golden Pond
8,4/03/05,14,"$197,446","$18,435","$589,041",33.52%,$47.61,$91.25,4147,8536,8,48.6%,48.6%,On Golden Pond
9,4/10/05,15,"$169,659","$-27,787","$589,041",28.80%,$52.66,$91.25,3222,8536,8,37.7%,-10.9%,On Golden Pond
10,4/17/05,16,"$202,823","$33,164","$589,041",34.43%,$54.48,$91.25,3723,8536,8,43.6%,5.9%,On Golden Pond
11,4/24/05,17,"$231,400","$28,577","$589,041",39.28%,$57.26,$91.25,4041,8536,8,47.3%,3.7%,On Golden Pond
12,5/01/05,18,"$240,835","$9,435","$589,041",40.89%,$55.22,$91.25,4361,8536,8,51.1%,3.8%,On Golden Pond
13,5/08/05,19,"$268,230","$27,395","$589,041",45.54%,$54.53,$91.25,4919,8536,8,57.6%,6.5%,On Golden Pond
14,5/15/05,20,"$218,918","$-49,312","$589,041",37.17%,$55.96,$91.25,3912,8536,8,45.8%,-11.8%,On Golden Pond
15,5/22/05,21,"$258,722","$39,804","$589,041",43.92%,$53.61,$91.25,4826,8536,8,56.5%,10.7%,On Golden Pond
16,5/29/05,22,"$244,945","$-13,777","$589,041",41.58%,$54.06,$91.25,4531,8536,8,53.1%,-3.4%,On Golden Pond
17,6/05/05,23,"$220,902","$-24,043","$589,041",37.50%,$54.44,$91.25,4058,8536,8,47.5%,-5.6%,On Golden Pond
18,6/12/05,24,"$216,695","$-4,207","$589,041",36.79%,$54.62,$91.25,3967,8536,8,46.5%,-1.0%,On Golden Pond
19,6/19/05,25,"$162,053","$-54,642","$589,041",27.51%,$52.58,$91.25,3082,8536,8,36.1%,-10.4%,On Golden Pond
20,6/26/05,26,"$135,912","$-26,141","$589,041",23.07%,$56.54,$91.25,2404,8536,8,28.2%,-7.9%,On Golden Pond
7,1/04/15,1,"$968,359","$-100,111","$1,790,076",54.10%,$86.41,$246.50,11207,14992,8,74.8%,5.1%,On The Town
8,1/11/15,2,"$626,999","$-341,360","$1,790,076",35.03%,$72.04,$246.50,8703,14992,8,58.1%,-16.7%,On The Town
9,1/18/15,3,"$649,289","$22,290","$1,790,076",36.27%,$65.83,$246.50,9863,14992,8,65.8%,7.7%,On The Town
10,1/25/15,4,"$624,882","$-24,407","$1,790,076",34.91%,$69.16,$246.50,9035,14992,8,60.3%,-5.5%,On The Town
11,2/01/15,5,"$491,489","$-133,393","$1,790,076",27.46%,$67.59,$246.50,7272,14992,8,48.5%,-11.8%,On The Town
12,2/08/15,6,"$379,914","$-111,575","$1,790,076",21.22%,$70.09,$246.50,5420,14992,8,36.2%,-12.3%,On The Town
13,2/15/15,7,"$552,450","$172,536","$1,790,076",30.86%,$74.81,$246.50,7385,14992,8,49.3%,13.1%,On The Town
14,2/22/15,8,"$536,545","$-15,905","$1,790,076",29.97%,$69.14,$246.50,7760,14992,8,51.8%,2.5%,On The Town
15,3/01/15,9,"$407,366","$-129,179","$1,790,076",22.76%,$66.90,$246.50,6089,14992,8,40.6%,-11.2%,On The Town
16,3/08/15,10,"$474,989","$67,623","$1,790,076",26.53%,$65.37,$246.50,7266,14992,8,48.5%,7.9%,On The Town
17,3/15/15,11,"$543,130","$68,141","$1,790,076",30.34%,$67.06,$246.50,8099,14992,8,54.0%,5.5%,On The Town
18,3/22/15,12,"$575,425","$32,295","$1,790,076",32.15%,$67.04,$246.50,8583,14992,8,57.3%,3.3%,On The Town
19,3/29/15,13,"$573,548","$-1,877","$1,790,076",32.04%,$63.50,$246.50,9032,14992,8,60.2%,2.9%,On The Town
20,4/05/15,14,"$563,746","$-9,802","$1,790,076",31.49%,$59.54,$246.50,9468,14992,8,63.2%,3.0%,On The Town
21,4/12/15,15,"$752,482","$188,736","$1,790,076",42.04%,$69.97,$246.50,10755,14992,8,71.7%,8.5%,On The Town
22,4/19/15,16,"$552,910","$-199,572","$1,790,076",30.89%,$67.00,$246.50,8252,14992,8,55.0%,-16.7%,On The Town
23,4/26/15,17,"$567,250","$14,340","$1,790,076",31.69%,$66.27,$246.50,8560,14992,8,57.1%,2.1%,On The Town
24,5/03/15,18,"$501,640","$-65,610","$1,790,076",28.02%,$63.15,$246.50,7944,14992,8,53.0%,-4.1%,On The Town
25,5/10/15,19,"$202,745","$-298,895","$865,218",23.43%,$45.82,$246.50,4425,7496,4,59.0%,6.0%,On The Town
26,5/17/15,20,"$614,881","$412,136","$1,790,076",34.35%,$63.03,$246.50,9756,14992,8,65.1%,6.1%,On The Town
27,5/24/15,21,"$638,515","$23,634","$1,790,076",35.67%,$55.86,$246.50,11431,14992,8,76.2%,11.1%,On The Town
28,5/31/15,22,"$512,816","$-125,699","$1,790,076",28.65%,$51.15,$246.50,10025,14992,8,66.9%,-9.3%,On The Town
29,6/07/15,23,"$493,263","$-19,553","$1,790,076",27.56%,$49.25,$246.50,10016,14992,8,66.8%,-0.1%,On The Town
30,6/14/15,24,"$559,983","$66,720","$1,790,076",31.28%,$66.98,$246.50,8360,14992,8,55.8%,-11.0%,On The Town
31,6/21/15,25,"$558,807","$-1,176","$1,790,076",31.22%,$61.29,$246.50,9118,14992,8,60.8%,5.0%,On The Town
32,6/28/15,26,"$637,010","$78,203","$1,790,076",35.59%,$60.77,$246.50,10483,14992,8,69.9%,9.1%,On The Town
33,7/05/15,27,"$473,731","$-163,279","$1,790,076",26.46%,$53.11,$246.50,9201,14992,8,61.4%,-8.5%,On The Town
34,7/12/15,28,"$509,820","$36,089","$1,790,076",28.48%,$56.09,$246.50,9090,14992,8,60.6%,-0.8%,On The Town
35,7/19/15,29,"$501,525","$-8,295","$1,790,076",28.02%,$54.64,$246.50,9178,14992,8,61.2%,0.6%,On The Town
36,7/26/15,30,"$476,502","$-25,023","$1,790,076",26.62%,$58.15,$246.50,8194,14992,8,54.7%,-6.5%,On The Town
37,8/02/15,31,"$475,889",$-613,"$1,790,076",26.58%,$62.09,$246.50,7664,14992,8,51.1%,-3.6%,On The Town
38,8/09/15,32,"$460,190","$-15,699","$1,790,076",25.71%,$53.00,$246.50,8683,14992,8,57.9%,6.8%,On The Town
39,8/16/15,33,"$435,180","$-25,010","$1,790,076",24.31%,$53.55,$246.50,8127,14992,8,54.2%,-3.7%,On The Town
40,8/23/15,34,"$395,379","$-39,801","$1,790,076",22.09%,$50.55,$246.50,7822,14992,8,52.2%,-2.0%,On The Town
41,8/30/15,35,"$914,434","$519,055","$1,790,076",51.08%,$76.55,$246.50,11946,14992,8,79.7%,27.5%,On The Town
42,9/06/15,36,"$955,351","$40,917","$1,790,076",53.37%,$80.30,$246.50,11898,14992,8,79.4%,-0.3%,On The Town
7,1/03/99,1,"$561,393","$163,733","$891,761",62.95%,$51.27,$80.00,10949,15224,8,71.9%,18.4%,On The Town 1988
8,1/10/99,2,"$255,653","$-305,740","$891,761",28.67%,$30.52,$75.00,8376,15224,8,55.0%,-16.9%,On The Town 1988
9,1/17/99,3,"$314,435","$58,782","$891,761",35.26%,$25.31,$75.00,12425,15224,8,81.6%,26.6%,On The Town 1988
7,2/15/15,7,"$228,661","$228,661","$401,500",56.95%,$80.04,$0.00,2857,2960,4,96.5%,0.0%,On The Twentieth Century
8,2/22/15,8,"$293,584","$64,923","$583,854",50.28%,$69.36,$0.00,4233,4332,6,97.7%,97.7%,On The Twentieth Century
9,3/01/15,9,"$377,072","$83,488","$778,472",48.44%,$73.96,$0.00,5098,5776,8,88.3%,-9.4%,On The Twentieth Century
10,3/08/15,10,"$364,904","$-12,168","$778,472",46.87%,$71.80,$0.00,5082,5776,8,88.0%,-0.3%,On The Twentieth Century
11,3/15/15,11,"$390,599","$25,695","$778,472",50.18%,$65.80,$0.00,5936,5776,8,102.8%,14.8%,On The Twentieth Century
12,3/22/15,12,"$466,078","$75,479","$822,136",56.69%,$80.30,$229.00,5804,5776,8,100.5%,-2.3%,On The Twentieth Century
13,3/29/15,13,"$486,398","$20,320","$822,136",59.16%,$85.88,$229.00,5664,5776,8,98.1%,-2.4%,On The Twentieth Century
14,4/05/15,14,"$509,348","$22,950","$822,136",61.95%,$94.36,$229.00,5398,5776,8,93.5%,-4.6%,On The Twentieth Century
15,4/12/15,15,"$517,707","$8,359","$822,136",62.97%,$91.35,$229.00,5667,5776,8,98.1%,4.6%,On The Twentieth Century
